epoch,train_loss,test_loss,train_ppl,test_ppl
1,2.4804783497216567,1.8586037556330364,11.946977884768321,6.414773923766038
2,1.522313063999392,1.384854108095169,4.582813285382578,3.9942431345676757
3,1.2689992987884666,1.1776256759961445,3.5572909952117713,3.246656429974656
4,1.092690500448335,1.052645057439804,2.982287133026412,2.8652197747664885
5,0.9749526640154281,0.9750181436538696,2.6510417183425923,2.6512153132792076
6,0.8827622133605885,0.9207320958375931,2.417568331640123,2.5111281035952633
7,0.8059865084459197,0.8785255899031957,2.238904107540319,2.4073476707697736
8,0.7401993505234988,0.8526597917079926,2.0963533819860665,2.3458781084710383
9,0.6815045206051953,0.8318019310633341,1.9768497070888216,2.2974548679297007
10,0.6297860960915403,0.816329245766004,1.877208993974736,2.262180668793772
