epoch,train_loss,test_loss,train_ppl,test_ppl
1,2.5453859871288516,1.8663788835207622,12.748147757490608,6.464844009816654
2,1.5485138656958095,1.380997359752655,4.704473505417939,3.978868012026133
3,1.268640566546962,1.179627110560735,3.556015109103799,3.2531609073446033
4,1.101437841946224,1.063544402519862,3.008488646748564,2.8966196017502686
5,0.9893169082560629,0.9890604962905248,2.6893967400415444,2.6887072349397756
6,0.9031285727923771,0.9363694339990616,2.4673102083514564,2.5507040879992684
7,0.8327306182879322,0.8976734131574631,2.29958947595282,2.453887282684646
8,0.7726513361031154,0.8717156052589417,2.165500117869405,2.391009365045905
9,0.7199998273039764,0.8537196318308512,2.054432855851472,2.3483656821961034
10,0.672739972483437,0.8371972044308981,1.9595992194937373,2.3098837634870635
