epoch,train_loss,test_loss,train_ppl,test_ppl
1,2.4823556373704156,1.8675068418184917,11.96942686379401,6.4721401983857
2,1.540340706987201,1.3878474632898967,4.666179800252369,4.006217235431214
3,1.2722826161474552,1.181646039088567,3.5689899055954077,3.2597354412298887
4,1.0955996277197353,1.057799865802129,2.990975617682507,2.880027566496239
5,0.977138915714228,0.978950560092926,2.6568439030098943,2.6616615219203283
6,0.8846434388520583,0.9239854365587234,2.4221206033952654,2.5193109625072876
7,0.8066351593665357,0.8855776637792587,2.240356845859934,2.4243844661534992
8,0.7392291775289571,0.858255997300148,2.0943205428101312,2.359042926817771
9,0.6797612309455872,0.8387634009122849,1.9734064875723558,2.313504329828887
10,0.6268545580360124,0.8255781581004461,1.8717139427818974,2.283200434630019
