epoch,train_loss,test_loss,train_ppl,test_ppl
1,2.494025724114112,1.8699760138988495,12.109929357115782,6.488140772219434
2,1.543518971722081,1.4015178978443146,4.681033747342463,4.061360020115666
3,1.2958694932595738,1.202402800321579,3.6541718710419064,3.3281040926906527
4,1.112807258120123,1.0696372886498768,3.042888589305235,2.9143222504922237
5,0.9896056297815071,0.9861338088909785,2.690173338875859,2.6808497331885097
6,0.8952010600072033,0.9266347885131836,2.447827900284014,2.5259943533477287
7,0.8167873710956214,0.8869877407948176,2.2632172684864758,2.4278054463220204
8,0.7509552195387067,0.8563310106595358,2.1190231825219534,2.3545061686993414
9,0.6911889252797613,0.8380699555079142,1.9960873217014505,2.311900596998221
10,0.6378507664743459,0.8182040254275004,1.892409275998849,2.2664257371427783
