epoch,train_loss,test_loss,train_ppl,test_ppl
1,2.525079830637518,1.8744680384794872,12.491892459541738,6.517351217952963
2,1.5801429714796678,1.399687757094701,4.855649981075549,4.053933957087027
3,1.2803020634741153,1.187306006749471,3.597726303159367,3.2782377502519204
4,1.1053047270145056,1.0652026236057281,3.0201446482597185,2.901426822067138
5,0.9892007652318703,0.9870160023371378,2.689084403509108,2.683215804766234
6,0.9003772915534254,0.9360375851392746,2.460531273718505,2.5498577801869193
7,0.8261254874040496,0.9019320060809454,2.284450439184748,2.4643596726977806
8,0.7629187112709261,0.8708791186412176,2.1445263481239065,2.389010153982414
9,0.7066208090422288,0.8487661530574163,2.0271296137109935,2.3367618659925564
10,0.6579430153909719,0.8313987851142883,1.9308165867761826,2.2965288449803216
