epoch,train_loss,test_loss,train_ppl,test_ppl
1,2.4806374626339607,1.8643870949745178,11.948878954451153,6.451980222789267
2,1.5343919160231105,1.396610418955485,4.638504072196235,4.04147780722952
3,1.2809806882210497,1.1899765233198802,3.6001686378820486,3.2870040385349224
4,1.1062797577875965,1.0652913947900136,3.023090818300777,2.9016843965946792
5,0.9906752356943095,0.9866880178451538,2.69305230358995,2.682335895899743
6,0.901005949051875,0.9312251061201096,2.4620785914693917,2.5376161231031955
7,0.8250144017192552,0.8869573473930359,2.2819136285721027,2.4277316581769846
8,0.7611068009205584,0.8565551042556763,2.140644176772435,2.355033857577461
9,0.7038069867862845,0.8357253968715668,2.021433648762915,2.3064865597311277
10,0.6519391216197103,0.819705049196879,1.9192588993791342,2.269830250534305
