epoch,train_loss,test_loss,train_ppl,test_ppl
1,1.759052777065421,1.2421225508054097,5.806934327124035,3.4629559695686027
2,1.1474397621064816,1.0788638989130657,3.150117526389559,2.94133599709417
3,0.9922135955882523,0.9853830635547638,2.6971983755038,2.6788378530535346
4,0.874441997060236,0.9210146516561508,2.39753708789712,2.51183773770298
5,0.7827739816791607,0.8788097153107325,2.187532030549095,2.4080317565862925
6,0.705261082019446,0.8531484951575597,2.0243751438844613,2.3470248273748315
7,0.6414665917180619,0.8376249372959137,1.8992642830155178,2.310871988020062
8,0.5898455476985788,0.8289486269156138,1.8037098067517887,2.2909088737231458
9,0.5469539511316227,0.8259069671233495,1.7279814772348585,2.283951294972085
10,0.5114212491602268,0.825719470779101,1.667659671357108,2.283523102597343
